"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"6","332","Bl","3","1997","Live",22,NA,"broken top, catface",NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","332","Bl","3","2009","Live",24.9,NA,"Live with no broken top or catface",NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","332","Bl","3","2019","Live",26.3,15.6,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6
"6","120","Bl","4","1992","Live",26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","1994","Live",25.6,NA,"DBH smaller (double checked)",NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","1997","Live",26.4,NA,"Dbh 1.0m",NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","2009","Live",28.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,5
"6","120","Bl","4","2019","Live",30.2,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"7","416","Bl","1","1992","Live",13.5,NA,NA,NA,NA,1,3,NA,NA,NA,NA,3,4
"7","416","Bl","1","1994","Live",13.4,NA,NA,NA,NA,1,3,NA,NA,NA,NA,3,4
"7","416","Bl","1","1997","Live",14.8,NA,NA,NA,NA,1,3,NA,NA,NA,NA,3,4
"7","416","Bl","1","2009","Live",20.4,NA,"Live",NA,NA,1,3,NA,NA,NA,NA,3,4
"7","416","Bl","1","2019","Live",23.4,15.5,NA,NA,NA,1,3,NA,NA,NA,NA,3,4
"7","417","Bl","1","1992","Live",23.3,21.7,NA,NA,NA,1,2,NA,NA,NA,NA,2,6
"7","417","Bl","1","1994","Live",23.4,21.2,NA,NA,NA,1,2,NA,NA,NA,NA,2,6
"7","417","Bl","1","1997","Live",34.6,NA,"Broken top",NA,NA,1,2,NA,NA,NA,NA,2,6
"7","417","Bl","1","2009","Live",27.9,NA,"Live with good top (1997 DBH error?)",NA,NA,1,2,NA,NA,NA,NA,2,6
"7","417","Bl","1","2019","Live",29.8,19.9,NA,NA,NA,1,2,NA,NA,NA,NA,2,6
"7","430","Sx","3","1992","Live",11.6,13.1,NA,NA,NA,NA,3,NA,NA,NA,NA,3,5
"7","430","Sx","3","1994","Live",11.5,12.2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,5
"7","430","Sx","3","1997","Live",12.9,NA,"Broken top",NA,NA,NA,3,NA,NA,NA,NA,3,5
"7","430","Sx","3","2009","Live",16.4,NA,"Live with good top",NA,NA,NA,3,NA,NA,NA,NA,3,5
"7","430","Sx","3","2019","Live",20.2,14.5,NA,NA,NA,NA,3,NA,NA,NA,NA,3,5
"8","198","Bl","4","1992","Live",7.9,6.3,"LAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"8","198","Bl","4","1994","Live",8.5,6.23,"LAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"8","198","Bl","4","1997","Live",7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"8","198","Bl","4","2009","Live",12.9,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"8","198","Bl","4","2019","Live",15.5,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"9","392","Sx","1","1992","Live",33.8,20.3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6
"9","392","Sx","1","1994","Live",33.8,22.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6
"9","392","Sx","1","1997","Live",34.6,NA,"poor top",NA,NA,NA,3,NA,NA,NA,NA,NA,6
"9","392","Sx","1","2009","Live",34,NA,"Dying - poor top",NA,NA,NA,3,NA,NA,NA,NA,NA,6
"9","392","Sx","1","2019","Dead",34,NA,"dead",NA,NA,NA,3,NA,NA,NA,NA,NA,6
"10","409","Sx","2","1992","Live",42.6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"10","409","Sx","2","1994","Live",43.7,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"10","409","Sx","2","1997","Live",45.8,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"10","409","Sx","2","2009","Live",50.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,7
"10","409","Sx","2","2019","Dead",48.4,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"10","607","Bl","3","1992","Live",11.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"10","607","Bl","3","1994","Live",10.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"10","607","Bl","3","1997","Live",11.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"10","607","Bl","3","2009","Live",14,NA,"Live",NA,NA,NA,1,NA,NA,NA,NA,3,5
"10","607","Bl","3","2019","Live",16.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
