"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"10","409","Sx","2","2009","Live",50.8,,"Live",,,,,,,,,3,7
"10","409","Sx","2","2019","Dead",48.4,27.9,,,,,,,,,,3,7
"10","410","Bl","2","1992","Live",14.7,,,,,,,1,,,,3,9
"10","410","Bl","2","1994","Live",16.4,,,,,,,1,,,,3,9
"10","410","Bl","2","1997","Live",16.6,,"Dbh at 1.1m",,,,,1,,,,3,9
"10","410","Bl","2","2009","Live",19.1,,"Live",,,,,1,,,,3,9
"10","410","Bl","2","2019","Live",21.1,15.5,,,,,,1,,,,3,9
"10","411","Bl","3","1994","Live",7.9,5.57,,,,,,,,,,4,8
"10","411","Bl","3","1997","Live",9,6.4,,,,,,,,,,4,8
"10","411","Bl","3","2009","Live",13.5,,"Live",,,,,,,,,4,8
"10","411","Bl","3","2019","Live",17.8,,,,,,,,,,,4,8
"10","412","Bl","4","1992","Live",8.9,,,,,,,,,,,4,8
"10","412","Bl","4","1994","Live",10,,,,,,,,,,,4,8
"10","412","Bl","4","1997","Live",10.9,,"DBh at 1.1m",,,,,,,,,4,8
"10","412","Bl","4","2009","Live",13.5,,"Live",,,,,,,,,4,8
"10","412","Bl","4","2019","Live",17.5,,,,,,,,,,,4,8
"10","413","Bl","4","1992","Live",17.9,,"Natural",,,,,,,,,2,7
"10","413","Bl","4","1994","Live",18.9,,,,,,,,,,,2,7
"10","413","Bl","4","1997","Live",20.5,,,,,,,,,,,2,7
"10","413","Bl","4","2009","Live",24.8,,"Live",,,,,,,,,2,7
"10","413","Bl","4","2019","Live",28.5,21.6,,,,,,,,,,2,7
"10","42","Bl","2","2019","Dead",8.3,,"dead",,,,,,,,,,
"10","43","Sx","2","2019","Live",10,10.9,,,,,,,,,,,
"10","46","Sx","2","2019","Live",8,,,,,,,,,,,,
"10","48","Bl","2","2009","Live",8.6,,"Live",,,,,,,,,,
"10","48","Bl","2","2019","Live",11.4,,,,,,,,,,,,
"10","49","Sx","2","2019","Live",7.7,,,,,,,,,,,,
"10","50","Bl","2","2009","Live",8.4,,"Live",,,,,,,,,,
"10","50","Bl","2","2019","Live",12,11.5,,,,,,,,,,,
"10","51","Sx","2","2009","Live",7.6,,"Live",,,,,,,,,,
"10","51","Sx","2","2019","Live",11.1,,,,,,,,,,,,
"10","52","Bl","3","2019","Live",7.6,,,,,,,,,,,,
"10","54","Bl","3","2019","Live",9.8,8.1,"found; painted 628 on tree (not actually #628)",,,,,,,,,4,
"10","602","Bl","3","2009","Live",7.8,,"Live",,,,,,,,,4,5
"10","602","Bl","3","2019","Live",11.2,,,,,,,,,,,4,5
"10","605","Bl","3","1992","Live",12.9,,,,,1,,,,,3,3,5
"10","605","Bl","3","1994","Live",12.9,,,,,1,,,,,3,3,5
"10","605","Bl","3","1997","Live",13.2,,"broken top, no limbs on north side",,,1,,,,,3,3,5
"10","605","Bl","3","2009","Live",13.3,,"Live with snapped top",,,1,,,,,3,3,5
"10","605","Bl","3","2019","Live",13.3,,,,,1,,,,,3,3,5
"10","607","Bl","3","1992","Live",10.4,,,,,,1,,,,,3,5
"10","607","Bl","3","1994","Live",10.9,,,,,,1,,,,,3,5
"10","607","Bl","3","1997","Live",11.5,,,,,,1,,,,,3,5
"10","607","Bl","3","2009","Live",14,,"Live",,,,1,,,,,3,5
"10","607","Bl","3","2019","Live",16.4,,,,,,1,,,,,3,5
"10","610","Bl","3","1992","Live",8.5,,,,,,,,,,,4,5
"10","610","Bl","3","1994","Live",8.8,,,,,,,,,,,4,5
"10","610","Bl","3","1997","Live",9.1,,,,,,,,,,,4,5
"10","610","Bl","3","2009","Live",9.5,,"Live",,,,,,,,,4,5
"10","610","Bl","3","2019","Live",10.2,,,,,,,,,,,4,5
"10","611","Bl","3","1992","Live",12.8,,,,,,,,,,,3,6
"10","611","Bl","3","1994","Live",13.2,,,,,,,,,,,3,6
"10","611","Bl","3","1997","Live",13.7,,,,,,,,,,,3,6
"10","611","Bl","3","2009","Live",15.1,,"Live",,,,,,,,,3,6
"10","611","Bl","3","2019","Live",15.8,,,,,,,,,,,3,6
"10","613","Bl","3","1992","Live",7.9,,,,,,,,,,,4,5
"10","613","Bl","3","1994","Live",8,,,,,,,,,,,4,5
"10","613","Bl","3","1997","Live",8.4,,,,,,,,,,,4,5
"10","613","Bl","3","2009","Live",10.4,,"Live",,,,,,,,,4,5
"10","613","Bl","3","2019","Live",12,9.6,,,,,,,,,,4,5
"10","617","Bl","3","1992","Live",26.7,,"LS",,,1,,,,,,2,7
"10","617","Bl","3","1994","Live",27.1,,,,,1,,,,,,2,7
"10","617","Bl","3","1997","Live",27.8,,,,,1,,,,,,2,7
"10","617","Bl","3","2009","Live",29.7,,"Live",,,1,,,,,,2,7
"10","617","Bl","3","2019","Live",31.5,25.6,"scar in 1",,,1,,,,,,2,7
"10","620","Bl","3","2019","Live",8.6,5.3,,,,,,,,,,4,6
"10","621","Bl","3","2009","Live",8.6,,"Live",,,,,,,,,4,5
"10","621","Bl","3","2019","Live",10.5,,,,,,,,,,,4,5
"10","624","Bl","4","2009","Live",8.3,,"Live",,,,,,,,,4,9
"10","624","Bl","4","2019","Live",8.7,,,,,,,,,,,4,9
"10","626","Sx","4","1992","Live",38.8,,,,,,,,,,,2,7
"10","626","Sx","4","1994","Live",39.5,,,,,,,,,,,2,7
"10","626","Sx","4","1997","Live",40.4,,"Dbh at 1.1m",,,,,,,,,2,7
"10","626","Sx","4","2009","Dead",40.4,,"Dead snag - woodpecker holes at base",,,,,,,,,2,7
"10","628","Bl","4","2009","Live",8.2,,"Live",,,,2,,,,,4,4
"10","628","Bl","4","2019","Dead",8.2,,"actual tree dead (silver tag)",,,,2,,,,,4,4
"10","629","Sx","4","1992","Live",29.6,,,,,,3,,,,,2,7
"10","629","Sx","4","1994","Live",30.4,,,,,,3,,,,,2,7
"10","629","Sx","4","1997","Live",30.9,,,,,,3,,,,,2,7
"10","629","Sx","4","2009","Live",33.2,,"Live with crooked top",,,,3,,,,,2,7
"10","629","Sx","4","2019","Live",34.3,7.3,"IBS",,,,3,,,,,2,7
"10","630","Bl","4","1994","Live",7.9,,"On bdy 3 - 4",,,,5,,,,,4,7
"10","630","Bl","4","1997","Live",8.3,,"DBh at 1.4",,,,5,,,,,4,7
"10","630","Bl","4","2009","Live",9.8,,"Live",,,,5,,,,,4,7
"10","630","Bl","4","2019","Live",11.5,,,,,,5,,,,,4,7
"10","631","Bl","1","2019","Live",7.7,6.1,,,,,,,,,,4,7
"10","946","Bl","1","2009","Live",8.7,,"Live",,,,,,,,,4,6
"10","946","Bl","1","2019","Live",11.1,,,,,,,,,,,4,6
"10","947","Bl","1","1992","Live",21.1,,,,,,,,,,,2,7
"10","947","Bl","1","1994","Live",21.6,,,,,,,,,,,2,7
"10","947","Bl","1","1997","Live",22.3,,"red top",,,,,,,,,2,7
"10","947","Bl","1","2009","Live",24,,"Live",,,,,,,,,2,7
"10","947","Bl","1","2019","Live",25,21.2,,,,,,,,,,2,7
"10","948","Bl","1","1992","Live",11.5,,,,,,,,,,,3,9
"10","948","Bl","1","1994","Live",11.9,,,,,,,,,,,3,9
"10","948","Bl","1","1997","Live",12.2,,"Dbh at 1.1m",,,,,,,,,3,9
"10","948","Bl","1","2009","Live",13.2,,"Live",,,,,,,,,3,9
"10","948","Bl","1","2019","Live",15.8,,,,,,,,,,,3,9
"10","951","Bl","1","1992","Live",12,,,,,,,,,,,3,8
"10","951","Bl","1","1994","Live",12.3,,,,,,,,,,,3,8
"10","951","Bl","1","1997","Live",12.6,,,,,,,,,,,3,8
"10","951","Bl","1","2009","Live",13.7,,"Live",,,,,,,,,3,8
"10","951","Bl","1","2019","Live",14.2,,,,,,,,,,,3,8
"10","953","Bl","1","1992","Live",9.7,,,,,,,,,,,4,5
"10","953","Bl","1","1994","Live",10,,,,,,,,,,,4,5
"10","953","Bl","1","1997","Live",10.3,,,,,,,,,,,4,5
"10","953","Bl","1","2009","Live",11.2,,"Live",,,,,,,,,4,5
"10","953","Bl","1","2019","Live",11.8,13.4,,,,,,,,,,4,5
"10","954","Bl","1","1992","Live",9.9,,,,,,3,,,,,4,5
"10","954","Bl","1","1994","Live",9.9,,,,,,3,,,,,4,5
"10","954","Bl","1","1997","Live",10.2,,,,,,3,,,,,4,5
"10","954","Bl","1","2009","Live",10.6,,"Live",,,,3,,,,,4,5
"10","954","Bl","1","2019","Live",11,9.7,,,,,3,,,,,4,5
"10","955","Bl","1","1992","Live",19.3,,,1,,,,,,,,2,6
"10","955","Bl","1","1994","Live",20.2,,,1,,,,,,,,2,6
"10","955","Bl","1","1997","Live",20.3,,,1,,,,,,,,2,6
"10","955","Bl","1","2009","Live",21.9,,"Live with conk",1,,,,,,,,2,6
"10","955","Bl","1","2019","Live",23.3,19.1,,1,,,,,,,,2,6
"10","957","Bl","1","1992","Live",8,,,,,,,,,,,4,8
"10","957","Bl","1","1994","Live",8.1,,,,,,,,,,,4,8
"10","957","Bl","1","1997","Live",8.4,,,,,,,,,,,4,8
"10","957","Bl","1","2009","Live",9.9,,"Live",,,,,,,,,4,8
"10","957","Bl","1","2019","Live",11.2,8.3,,,,,,,,,,4,8
"10","961","Bl","1","1992","Live",13.4,,,,,,,,,,,3,6
"10","961","Bl","1","1994","Live",13.8,,,,,,,,,,,3,6
"10","961","Bl","1","1997","Live",13.9,,,,,,,,,,,3,6
"10","961","Bl","1","2009","Live",15,,"Live",,,,,,,,,3,6
"10","961","Bl","1","2019","Live",15,,,,,,,,,,,3,6
"10","964","Sx","2","2009","Live",9.6,,"Live",,,,3,,,,,4,9
"10","964","Sx","2","2019","Live",12,,,,,,3,,,,,4,9
"10","965","Bl","2","2009","Live",9,,"Live",,,,,,,,,4,9
"10","965","Bl","2","2019","Live",10.8,11.5,,,,,,,,,,4,9
"10","970","Bl","2","1992","Live",8.5,,,,,,,,,,,4,7
"10","970","Bl","2","1994","Live",8.5,,,,,,,,,,,4,7
"10","970","Bl","2","1997","Live",9,,"Dbh at 1.1m",,,,,,,,,4,7
"10","970","Bl","2","2009","Live",9.9,,"Live",,,,,,,,,4,7
"10","970","Bl","2","2019","Live",11.4,9.1,,,,,,,,,,4,7
"10","972","Bl","2","1992","Live",14.7,,,1,,,,,,,,3,6
"10","972","Bl","2","1994","Live",14.8,,,1,,,,,,,,3,6
"10","972","Bl","2","1997","Live",15.2,,,1,,,,,,,,3,6
"10","972","Bl","2","2009","Live",16.4,,"Live",1,,,,,,,,3,6
"10","972","Bl","2","2019","Live",16.8,,,1,,,,,,,,3,6
"10","New","Bl","3","2009","Live",18.8,,"Possibly missed tree? (right on boundary)",,,,,,,,,,
"11","1","Bl","1","1992","Live",7.9,,,,,,,,,,,,8
"11","1","Bl","1","1994","Live",8.3,,,,,,,,,,,,8
"11","1","Bl","1","1997","Live",8.8,,,,,,,,,,,,8
"11","1","Bl","1","2009","Live",11.3,,"Live",,,,,,,,,,8
"11","1","Bl","1","2019","Live",13.8,,,,,,,,,,,,8
"11","16","Bl","2","2009","Live",8.9,,"Live",,,,3,,,,,,8
"11","16","Bl","2","2019","Live",11.5,,,,,,3,,,,,,8
"11","20","Bl","2","1992","Live",8.6,,,,,,,,,,,,7
"11","20","Bl","2","1994","Live",8.7,,,,,,,,,,,,7
"11","20","Bl","2","1997","Live",9.9,,,,,,,,,,,,7
"11","20","Bl","2","2009","Live",13.2,,"Live",,,,,,,,,,7
"11","20","Bl","2","2019","Live",15.9,,,,,,,,,,,,7
"11","329","Bl","2","2009","Live",10,,"Live",,,,,,,,,,6
"11","329","Bl","2","2019","Live",13.1,12.7,,,,,,,,,,,6
"11","330","Bl","2","1992","Live",14.7,,,,,,,,,,,,7
"11","330","Bl","2","1994","Live",16.2,,,,,,,,,,,,7
"11","330","Bl","2","1997","Live",17.8,,,,,,,,,,,,7
"11","330","Bl","2","2009","Live",23,,"Live",,,,,,,,,,7
"11","330","Bl","2","2019","Live",26.6,20.3,,,,,,,,,,,7
"11","331","Sx","2","1992","Live",27.4,20,,,,,,,,,,,7
"11","331","Sx","2","1994","Live",28.9,21.7,,,,,,,,,,,7
"11","331","Sx","2","1997","Live",30.9,,,,,,,,,,,,7
"11","331","Sx","2","2009","Live",36.2,,"Live",,,,,,,,,,7
"11","331","Sx","2","2019","Live",40,22.4,,,,,,,,,,,7
"11","332","Bl","2","1992","Live",13.2,,,,,,,,,,,,
"11","332","Bl","2","1994","Live",13.6,,"Marked to cut but not felled",,,,,,,,,,
"11","332","Bl","2","1997","Live",14.1,,"not Felled (cut)",,,,,,,,,,
"11","332","Bl","2","2009","Live",18,,"Live",,,,,,,,,,
"11","332","Bl","2","2019","Live",21,19,,,,,,,,,,,
"11","334","Sx","3","2009","Live",8.8,,"Live",,,,,,,,,,8
"11","334","Sx","3","2019","Live",12.3,12,,,,,,,,,,,8
"11","335","Bl",,"2019","Live",22.1,16.5,"ADDED 2019",,,,,,,,,,
"11","336","Bl","1","1992","Live",11.7,,,,,,,,,,,,8
"11","336","Bl","1","1994","Live",12.5,,,,,,,,,,,,8
"11","336","Bl","1","1997","Live",13.2,,,,,,,,,,,,8
"11","336","Bl","1","2009","Live",15.4,,"Live",,,,,,,,,,8
"11","336","Bl","1","2019","Live",16.8,,,,,,,,,,,,8
"11","337","Bl","1","1992","Live",12.3,,,,,,,,,,,,9
"11","337","Bl","1","1994","Live",13.1,,,,,,,,,,,,9
"11","337","Bl","1","1997","Live",13.9,,,,,,,,,,,,9
"11","337","Bl","1","2009","Live",17.3,,"Live",,,,,,,,,,9
"11","337","Bl","1","2019","Live",19.4,16,,,,,,,,,,,9
"11","338","Bl","3","1997","Live",8,,,,,,5,,,,,,7
"11","338","Bl","3","2009","Live",11.7,,"Live",,,,5,,,,,,7
"11","338","Bl","3","2019","Live",15.8,14.2,,,,,5,,,,,,7
"11","339","Sx","1","1992","Live",14.3,,,,,,,,,,,,8
"11","339","Sx","1","1994","Live",15.8,,,,,,,,,,,,8
"11","339","Sx","1","1997","Live",17.6,,"Bent top",,,,,,,,,,8
"11","339","Sx","1","2009","Live",23.2,,"Live",,,,,,,,,,8
"11","339","Sx","1","2019","Live",26.5,19.9,,,,,,,,,,,8
"11","340","Bl","4","1992","Live",12,,,,,,,,,,,,7
"11","340","Bl","4","1994","Live",12.7,,,,,,,,,,,,7
"11","340","Bl","4","1997","Live",13.2,,,,,,,,,,,,7
"11","340","Bl","4","2009","Live",16.1,,"Live",,,,,,,,,,7
"11","340","Bl","4","2019","Live",18.1,,,,,,,,,,,,7
"11","342","Bl","1","1992","Live",18.1,,,,,1,,,,,,,7
"11","342","Bl","1","1994","Live",18.6,,,,,1,,,,,,,7
"11","342","Bl","1","1997","Live",19.5,,,,,1,,,,,,,7
"11","342","Bl","1","2009","Live",22.4,,"Live",,,1,,,,,,,7
"11","342","Bl","1","2019","Live",24,16.6,,,,1,,,,,,,7
"11","343","Bl","3","1992","Live",8,,,,,,,,,,,,7
