"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown","heightVol","totalVol","merchVol"
"34","10","373","Bl","2","2009","Live",17.7,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,6,14.6762157312636,0.164416313349363,0.154069930900535
"35","10","373","Bl","2","2019","Live",20,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,17.9,0.251896182219334,0.238688152515764
"36","10","375","Bl","3","1992","Live",17.2,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,14.7,0.156353966496974,0.146619505472365
"37","10","375","Bl","3","1994","Live",17.9,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,15.6,0.178721696146322,0.168142309957797
"38","10","375","Bl","3","1997","Live",18.9,16.2,"Dbh at 1.0m",NA,NA,NA,NA,NA,NA,NA,NA,2,7,16.2,0.205074321414193,0.193217371487966
"39","10","375","Bl","3","2009","Live",21.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,7,17.0092904880919,0.27473912814209,0.258999176402747
"40","10","375","Bl","3","2019","Live",33.2,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,16.5,0.580418547846607,0.541112819755333
"41","10","377","Bl","3","1992","Live",20.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,16.692227026763,0.236487793067188,0.222986794859901
"42","10","377","Bl","3","1994","Live",20.6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,16.9829805685595,0.251711272107139,0.237501557111921
"43","10","377","Bl","3","1997","Live",21.2,NA,"Dbh at 1.1m",NA,NA,NA,1,NA,NA,NA,NA,2,6,17.0472298353801,0.266196493533656,0.251083075201232
"44","10","377","Bl","3","2009","Live",23.5,NA,"Live",NA,NA,NA,1,NA,NA,NA,NA,2,6,17.9970677722729,0.339333288878173,0.320573051044115
"45","10","377","Bl","3","2019","Live",25.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,18.5820050105235,0.400947172178739,0.379029541238649
"46","10","381","Sx","4","1992","Live",13,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,9.4,0.0537151292212752,0.047820125076636
"47","10","381","Sx","4","1994","Live",13.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,10.2,0.0620966605774197,0.0556766275774901
"48","10","381","Sx","4","1997","Live",14.3,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,10.7,0.0736071764726215,0.0661727239170981
"49","10","381","Sx","4","2009","Live",17.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,8,14.4759302076906,0.146452558649496,0.134810587655122
"50","10","381","Sx","4","2019","Live",20.1,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,13.3,0.172898800116562,0.157098352509613
"51","10","387","Bl","3","1992","Live",20.7,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,18.6,0.278944710088496,0.264827569169377
"52","10","387","Bl","3","1994","Live",25.3,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,19.6,0.423657645987578,0.40197517706948
"53","10","387","Bl","3","1997","Live",26.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,20.5,0.476078460251581,0.452745900714534
"54","10","387","Bl","3","2009","Live",29.2,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,6,20.5415021724178,0.576693682970286,0.547302994798397
"55","10","387","Bl","3","2019","Live",30.4,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,23.1,0.700354630627622,0.669500544063443
"56","10","394","Sx","1","1992","Live",39.8,28.6,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6,28.6,1.38107964628046,1.32441263860909
"57","10","394","Sx","1","1994","Live",39.9,28.5,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6,28.5,1.38196663699328,1.32469738705408
"58","10","394","Sx","1","1997","Live",40.9,28.5,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6,28.5,1.4449707341325,1.38399384618355
"59","10","394","Sx","1","2009","Live",43.6,NA,"Live",NA,NA,NA,2,NA,NA,NA,NA,2,6,25.2384786459042,1.41720022458907,1.33842028930007
"60","10","394","Sx","1","2019","Live",44.8,30.3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6,30.3,1.82196825741767,1.7505855639343
"61","10","395","Bl","1","1992","Live",21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,17.4819707493109,0.277902891388906,0.262528925708121
"62","10","395","Bl","1","1994","Live",21.9,NA,"Marked with ""S""; Looks like 956, which is marked to cut; bent top- not sample; not recorded; DBH=21.5; ht=19.7) )",NA,NA,NA,NA,NA,NA,NA,NA,2,7,17.7415544522915,0.294232468899329,0.278103044384685
"63","10","395","Bl","1","1997","Live",22.4,NA,"top not bent, looks good",NA,NA,NA,NA,NA,NA,NA,NA,2,7,17.7168707717382,0.306083887356188,0.289139890784888
"64","10","395","Bl","1","2009","Live",25,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,7,18.7220258547954,0.395423742598631,0.374095424592819
"65","10","395","Bl","1","2019","Live",27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,24,0.587594523298367,0.564595905584169
"66","10","40","Bl","2","2009","Live",8.1,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51748515321243,0.0145063781140949,0.0129165044322245
"67","10","40","Bl","2","2019","Live",9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70575905502528,0.0284023654225697,0.0257814071272302
"68","10","406","Bl","1","1992","Live",10.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,8.5,0.0344301475469663,0.0314320158310122
"69","10","406","Bl","1","1994","Live",11.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,9.2,0.0435532339729412,0.0399074551583865
"70","10","406","Bl","1","1997","Live",12.1,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,9.7,0.05378759176786,0.0493758864203552
"71","10","406","Bl","1","2009","Live",15,NA,"LIve",NA,NA,NA,NA,NA,NA,NA,NA,3,9,12.7369794154056,0.105206873483812,0.0979670050327595
"72","10","406","Bl","1","2019","Live",17.7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,8.4,0.0923874662389875,0.0833038238728222
"73","10","407","Bl","1","1992","Live",16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,14.2813633668828,0.14229513568136,0.13326955263742
"74","10","407","Bl","1","1994","Live",17,NA,"Cankers",NA,NA,NA,NA,NA,NA,NA,NA,3,8,14.6020047510514,0.152019399985091,0.142524030887364
"75","10","407","Bl","1","1997","Live",17.7,NA,"Canker at base",NA,NA,NA,NA,NA,NA,NA,NA,3,8,14.8527477436311,0.166459652545238,0.156113429058429
"76","10","407","Bl","1","2009","Live",20.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,8,16.2820239792362,0.234661642295254,0.220839429394577
"77","10","407","Bl","1","2019","Live",21.7,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,18.6,0.303854303049131,0.288190843532412
"78","10","408","Sx","2","2019","Live",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,6.85600072479116,0.0195322965426871,0.017053329212969
"79","10","409","Sx","2","1992","Live",42.6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,26,1.40466996907665,1.33148465139013
"80","10","409","Sx","2","1994","Live",43.7,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,26.9,1.52712629564031,1.45126137818807
"81","10","409","Sx","2","1997","Live",45.8,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,27.3,1.68920706653815,1.60522497810661
"82","10","409","Sx","2","2009","Live",50.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,7,27.0292066213897,2.01340953193212,1.90509479596417
